,game_title, genre, platforms, developers,release_year,release_month,release_day,average_metascore_ratings
6587,Dragon Quest VII: Fragments of the Forgotten Past,Japanese-Style|Role-Playing,3DS,ArtePiazza,2016,9,16,81.0
6588,Etrian Odyssey Nexus,Western-Style|General|Role-Playing,3DS,Atlus,2019,2,5,80.0
6589,Shin Megami Tensei: Strange Journey Redux,Western-Style|General|Role-Playing,3DS,Atlus,2018,5,15,80.0
6590,Etrian Odyssey V: Beyond the Myth,Japanese-Style|Western-Style|Role-Playing,3DS,Atlus Co.| Atlus,2017,10,17,80.0
6591,Yo-kai Watch 3,Trainer|Role-Playing,3DS,Level 5,2019,2,8,80.0
6592,Monster Hunter Stories,Japanese-Style|Action RPG|Role-Playing,3DS|iPhone/iPad,Capcom,2017,9,8,79.0
6593,The Denpa Men: They Came By Wave,General|Role-Playing,3DS,Genius Sonority Inc.,2012,9,27,78.0
6594,Rune Factory 4,General|Breeding/Constructing|Action RPG|Strategy|Role-Playing,3DS,Neverland,2013,10,1,78.0
6595,Shin Megami Tensei: Devil Survivor Overclocked,Tactics|General|Strategy|Turn-Based|Role-Playing,3DS,Atlus,2011,8,23,78.0
6596,Etrian Mystery Dungeon,General|Roguelike|Role-Playing,3DS,Spike Chunsoft,2015,4,7,77.0
6597,Yo-kai Watch,Trainer|Role-Playing|Japanese-Style,3DS,Level 5,2015,11,6,76.0
6598,Mario & Luigi: Paper Jam,Japanese-Style|Role-Playing,3DS,Nintendo| Alphadream Corporation,2016,1,22,76.0
6599,The Denpa Men 2: Beyond the Waves,General|Role-Playing,3DS,Genius Sonority Inc.,2013,5,30,76.0
6600,Ever Oasis,Action RPG|Role-Playing,3DS,GREZZO,2017,6,23,76.0
6601,7th Dragon III Code: VFD,Japanese-Style|General|Role-Playing,3DS,Sega,2016,7,12,76.0
6602,Crimson Shroud,General|Console-style RPG|Role-Playing,3DS,Nex Entertainment,2012,12,13,76.0
6603,Tales of the Abyss,Console-style RPG|Japanese-Style|General|Action RPG|Role-Playing,3DS|PlayStation 2,Bandai Namco Games,2012,2,14,75.0
6604,Paper Mario: Sticker Star,Action Adventure|Console-style RPG|Japanese-Style|General|Fantasy|Role-Playing,3DS,Intelligent Systems,2012,11,11,75.0
6605,Kingdom Hearts 3D: Dream Drop Distance,Action RPG|Role-Playing,3DS,Square Enix,2012,6,5,75.0
6606,The Denpa Men 3: The Rise of Digitoll,General|Role-Playing,3DS,Genius Sonority Inc.,2014,5,8,75.0
6607,The Alliance Alive,Japanese-Style|Role-Playing,3DS,Cattle Call| GREZZO| FuRyu,2018,3,27,74.0
6608,Shin Megami Tensei: Devil Summoner - Soul Hackers,Japanese-Style|General|Console-style RPG|Role-Playing,3DS,Atlus,2013,4,16,74.0
6609,Yo-kai Watch 2: Psychic Specters,Trainer|Role-Playing,3DS,Level 5,2017,9,29,73.0
6610,Fantasy Life,General|Role-Playing,3DS,Level 5| Brownie Brown,2014,10,24,73.0
6611,Gurumin 3D: A Monstrous Adventure,Action RPG|Role-Playing,3DS|PC,Falcom,2016,10,13,72.0
6612,Yo-kai Watch 2: Bony Spirits,Trainer|Role-Playing,3DS,Level 5,2016,9,30,72.0
6613,Dragon Ball: Fusions,Trainer|Role-Playing,3DS,Ganbarion,2016,11,22,72.0
6614,Yo-kai Watch 2: Fleshy Souls,Trainer|Role-Playing,3DS,Level 5,2016,9,30,70.0
6615,Pokemon Super Mystery Dungeon,Roguelike|Role-Playing,3DS,Spike Chunsoft Co. Ltd.| Spike Chunsoft,2015,11,20,69.0
6616,Final Fantasy Explorers,Action RPG|Role-Playing,3DS,Racjin,2016,1,26,69.0
6617,Adventure Bar Story,General|Role-Playing,3DS|iPhone/iPad,RideonJapan|Inc.| Ride On,2015,2,19,70.5
6618,The Legend of Legacy,Japanese-Style|Role-Playing,3DS,Cattle Call| FuRyu,2015,10,13,67.0
6619,RPG Maker Fes,General|Role-Playing,3DS,Jupiter Corporation| Kadokawa,2017,6,27,64.0
6620,Weapon Shop de Omasse,General|Role-Playing,3DS,Nex Entertainment,2014,2,20,63.0
6621,River City: Knights of Justice,Japanese-Style|Role-Playing,3DS,Million| Avit-Niigata,2017,6,20,62.0
6622,Moco Moco Friends,Trainer|General|Role-Playing,3DS,Racjin| Nippon Columbia,2015,11,17,62.0
6623,Conception II: Children of the Seven Stars,Japanese-Style|Console-style RPG|Role-Playing,3DS|PC|PlayStation Vita,Spike,2014,4,15,62.0
6624,League of Heroes,Action RPG|Role-Playing,3DS|iPhone/iPad,Gamelion Studios,2014,12,18,60.0
6625,Pokemon Mystery Dungeon: Gates to Infinity,General|Console-style RPG|Roguelike|Role-Playing,3DS,Nintendo| Spike Chunsoft,2013,3,24,59.0
6626,Fairune,Action RPG|Role-Playing,3DS|iPhone/iPad|PlayStation Vita,Flyhigh Works| Skipmore,2014,12,18,59.0
6627,Fossil Fighters: Frontier,Trainer|General|Role-Playing,3DS,RED Entertainment| Spike Chunsoft,2015,3,20,57.0
6628,Unlucky Mage,Japanese-Style|Role-Playing,3DS|iPhone/iPad,EXE Create,2016,11,3,55.0
6629,Sadame,Action RPG|Role-Playing,3DS,Mebius| Intergrow,2016,2,25,54.0
6630,Justice Chronicles,Japanese-Style|Role-Playing,3DS|iPhone/iPad,Kemco,2016,3,31,54.0
6631,Alphadia,Japanese-Style|Role-Playing,3DS|iPhone/iPad,Kemco| EXE Create,2016,2,4,53.0
6632,Excave III: Tower of Destiny,Action RPG|Role-Playing,3DS,Mechanic Arms,2016,4,14,50.0
6633,Planet Crashers (3DSWare),Console-style RPG|Role-Playing,3DS,Renegade Kid,2012,7,26,50.0
6634,One Piece: Romance Dawn,General|Role-Playing,3DS,Bandai Namco Games,2014,2,11,42.0
6635,Chronus Arc,Japanese-Style|Role-Playing,3DS|iPhone/iPad|PC|PlayStation 4|PlayStation Vita|Switch|Xbox One,Kemco,2015,10,1,40.0
6636,Excave II: Wizard of the Underworld,Action RPG|Role-Playing,3DS,Mechanic Arms,2015,4,2,40.0
6637,Animal Crossing: New Leaf,Miscellaneous|Virtual|Simulation|Virtual Life,3DS,Nintendo,2013,6,9,88.0
6638,Style Savvy: Styling Star,Career|Simulation|Virtual,3DS,Nintendo| syn Sophia,2017,12,25,80.0
6639,Style Savvy: Fashion Forward,Career|Simulation|Virtual,3DS,syn Sophia,2016,8,19,78.0
6640,Style Savvy: Trendsetters,Simulation|Career|General|Virtual|Miscellaneous,3DS,syn Sophia,2012,10,22,76.0
6641,Disney Magical World 2,Virtual Life|Simulation|Virtual,3DS,Bandai Namco Games,2016,10,14,73.0
