,game_title, genre, platforms, developers,release_year,release_month,release_day,average_metascore_ratings
0,Journey,Action|Platformer|3D,PlayStation 4|PC|PlayStation 3,Tricky Pixels,2015,7,21,92.0
1,Celeste,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Matt Makes Games Inc.,2018,1,25,91.25
2,INSIDE,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,PLAYDEAD,2016,8,23,90.5
3,Overwatch,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Blizzard Entertainment,2016,5,23,90.67
4,Shovel Knight,Action|Platformer|2D,PlayStation 4|3DS|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Yacht Club Games,2015,4,21,88.22
5,Rayman Legends,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Ubisoft Montpellier,2014,2,18,89.8
6,Fez,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360,Polytron Corp.,2014,3,25,90.67
7,Rez Infinite,Shooter|Action|Rail,PlayStation 4|PC,Q Entertainment| Monstars Inc.| Enhance Games,2016,10,13,89.0
8,Titanfall 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Respawn Entertainment,2016,10,28,87.33
9,Apex Legends,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Respawn Entertainment,2019,2,4,88.33
10,Battlefield 1,Action|First-Person|General|Shooter|Tactical,PlayStation 4|PC|Xbox One,EA DICE,2016,10,18,88.0
11,The Binding of Isaac: Rebirth,Action Adventure|Action|Shooter|Shoot-'Em-Up|Survival|Horror|Top-Down,PlayStation 4|3DS|iPhone/iPad|PC|PlayStation Vita|Wii U|Xbox One,Nicalis,2014,11,4,86.25
12,ZEN Pinball 2: Star Wars Rebels,Action|Pinball,PlayStation 4,Zen Studios,2015,4,28,88.0
13,Injustice 2: Legendary Edition,Action|2D|Fighting,PlayStation 4|PC|Xbox One,NetherRealm Studios,2018,3,27,88.0
14,Nex Machina: Death Machine,Shooter|Action|Top-Down|Shoot-'Em-Up,PlayStation 4|PC,Housemarque,2017,6,20,86.0
15,Guacamelee! Super Turbo Championship Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Wii U|Xbox 360|Xbox One,DrinkBox Studios,2014,7,1,86.2
16,Injustice 2,Action|2D|Fighting,PlayStation 4|iPhone/iPad|PC|Xbox One,NetherRealm Studios,2017,5,16,84.75
17,Dead Cells,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Motion Twin,2018,8,7,89.0
18,Street Fighter V: Arcade Edition,Action|2D|Fighting,PlayStation 4|PC,Capcom,2018,1,16,88.0
19,Dragon Ball FighterZ,Action|2D|Fighting,PlayStation 4|PC|Switch|Xbox One,Arc System Works,2018,1,26,87.0
20,TowerFall Ascension,Action|General,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Matt Thorson,2014,3,11,84.67
21,Wolfenstein II: The New Colossus,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Switch|Xbox One,MachineGames,2017,10,27,85.0
22,Sonic Mania Plus,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Sega,2018,7,17,89.0
23,NBA 2K16,Sim|Sports|Action|Team|General|Basketball,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Visual Concepts,2015,9,25,86.5
24,Velocity 2X,Scrolling|Action|General|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,FuturLab,2014,9,2,86.75
25,Steins;Gate Elite,Action|General,PlayStation 4|PC|Switch,5pb| Mages.,2019,2,19,85.5
26,Guilty Gear Xrd -REVELATOR-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Arc System Works,2016,6,7,86.0
27,Sonic Mania,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,SegaSoft| Sega| PagodaWest Games,2017,8,15,84.75
28,Beat Saber,Action|General,PlayStation 4|PC,Hyperbolic Magnetism,2018,11,20,86.0
29,Guilty Gear Xrd: Rev 2,Action|2D|Fighting,PlayStation 4|PlayStation 3,Arc System Works,2017,5,26,86.0
30,Resogun: Heroes,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4,Housemarque,2014,6,24,86.0
31,Battlefield 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,EA DICE,2013,11,12,82.6
32,DOOM,Arcade|Third-Person|Action|First-Person|Shooter|Sci-Fi,PlayStation 4|PC|Switch|Xbox One,id Software,2016,5,13,84.45
33,SteamWorld Dig 2,Action Adventure|Action|2D|General|Platformer,PlayStation 4|3DS|PC|PlayStation Vita|Switch|Xbox One,Image & Form,2017,9,26,86.0
34,Resogun: Defenders,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4,Housemarque,2015,2,17,85.0
35,DJMax Respect,Music|Action|Rhythm,PlayStation 4,Rocky Studio,2018,3,6,85.0
36,Destiny 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Bungie,2017,9,6,85.4
37,Assault Android Cactus,Scrolling|Action|General|Shooter|Shoot-'Em-Up|Top-Down,PlayStation 4|PC|Xbox One,Witch Beam,2016,3,8,82.0
38,Shantae: Half-Genie Hero - Ultimate Edition,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,WayForward,2018,5,8,84.5
39,Rogue Legacy,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch|Xbox One,Cellar Door Games,2014,7,29,84.44
40,Mortal Kombat XL,Action|2D|Fighting,PlayStation 4|PC|Xbox One,NetherRealm Studios,2016,3,1,84.5
41,Geometry Wars 3: Dimensions,Action|Shooter|Shoot-'Em-Up|Top-Down|Static,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Lucid Games,2014,11,25,85.0
42,Ratchet & Clank,Action|Platformer|3D,PlayStation 4,Insomniac Games,2016,4,12,85.0
43,Far Cry 4,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Ubisoft Montreal,2014,11,18,82.33
44,Super Meat Boy,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Wii U|Xbox 360,Team Meat,2015,10,6,85.17
45,Guilty Gear Xrd -SIGN-,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3,Arc System Works,2014,12,16,84.0
46,BlazBlue: Central Fiction,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|Switch,Arc System Works,2016,11,1,84.0
47,Salt and Sanctuary,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Ska Studios,2016,3,15,83.33
48,ZEN Pinball 2: South Park: Super-Sweet Pinball,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,Zen Studios,2014,10,14,84.0
49,Thumper,Music|Action|Rhythm,PlayStation 4|PC|Switch|Xbox One,drool Games| Drool,2016,10,10,85.25
50,Sound Shapes,Music Maker|Music|Action|Rhythm|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita,SCEA,2013,11,15,84.0
51,Polybius,Shooter|Action|Rail,PlayStation 4|PC,Llamasoft,2017,5,9,84.0
52,Uncharted: The Lost Legacy,Action|General,PlayStation 4,Naughty Dog,2017,8,22,84.0
53,SoulCalibur VI,Action|3D|Fighting,PlayStation 4|PC|Xbox One,Bandai Namco Games| Project Soul,2018,10,19,82.67
54,ZEN Pinball 2: Aliens Vs. Pinball,Action|Pinball,PlayStation 4|iPhone/iPad|PlayStation 3|PlayStation Vita,Zen Studios,2016,4,26,84.0
55,Hatsune Miku: Project Diva Future Tone - Colorful Tone,Music|Action|Rhythm,PlayStation 4,Sega,2017,1,10,84.0
56,Hatsune Miku: Project Diva Future Tone - Future Sound,Music|Action|Rhythm,PlayStation 4,Sega,2017,1,10,84.0
57,Resogun,Horizontal|Scrolling|Action|Shooter|Shoot-'Em-Up,PlayStation 4|PlayStation 3|PlayStation Vita,Housemarque| XDEV,2013,11,15,84.5
58,BioShock: The Collection,Arcade|Compilation|Action|First-Person|Shooter|Miscellaneous,PlayStation 4|PC|Xbox One,2K Games,2016,9,13,82.67
59,Trine 2: Complete Story,Action|Platformer|2D,PlayStation 4|PC|Switch,Frozenbyte| Inc.,2013,11,15,85.0
60,Call of Duty: Black Ops 4,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,Treyarch,2018,10,12,83.67
61,Guacamelee! 2,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,DrinkBox Studios,2018,8,21,84.75
62,Prey: Mooncrash,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Arkane Studios,2018,6,11,80.0
63,Call of Duty: Modern Warfare Remastered,Arcade|Action|First-Person|Shooter|Tactical,PlayStation 4|PC|Xbox One,Infinity Ward,2016,11,4,86.0
64,ZEN Pinball 2: Portal Pinball,Action|Pinball,PlayStation 4|PlayStation 3|PlayStation Vita,Zen Studios,2015,5,26,83.0
65,Yoku's Island Express,Action|Pinball,PlayStation 4|PC|Switch|Xbox One,Villa Gorilla,2018,5,29,83.0
66,Jamestown+,Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC,Final Form Games| LLC,2015,3,17,83.0
67,Terraria,Action Adventure|Sandbox|Action|2D|Platformer,PlayStation 4|3DS|iPhone/iPad|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox 360|Xbox One,Engine Software| Pipeworks Software| Inc.,2014,11,11,82.0
68,Battle Chef Brigade,Action|Beat-'Em-Up|2D,PlayStation 4|PC|Switch,Trinket Studios,2018,8,28,81.33
69,Metro Redux,Compilation|Action|First-Person|Sci-Fi|Shooter|Miscellaneous,PlayStation 4|PC|Xbox One,4A Games,2014,8,26,83.67
70,The Swapper,Action|Platformer|2D,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U|Xbox One,Facepalm Games,2014,8,5,86.33
71,Call of Duty: Advanced Warfare,Arcade|Action|First-Person|Shooter|Modern,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Sledgehammer Games,2014,11,3,80.67
72,Mortal Kombat X,Action|2D|3D|Fighting,PlayStation 4|PC|Xbox One,Warner Bros. Interactive Entertainment| NetherRealm Studios,2015,4,14,81.67
73,The Unfinished Swan,Action|First-Person|General|3D|Adventure,PlayStation 4|PlayStation 3|PlayStation Vita,Armature Studio,2014,10,28,83.0
74,SUPERHOT,Tactical|Shooter|Action|First-Person,PlayStation 4|PC|Xbox One,SUPERHOT,2017,7,21,82.67
75,ZEN Pinball 2: The Walking Dead,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Wii U,Zen Studios,2014,8,26,81.5
76,Move or Die,Action|General,PlayStation 4|iPhone/iPad|PC,Those Awesome Guys,2019,3,5,81.5
77,Nuclear Throne,Action|General|Shooter|Shoot-'Em-Up|Top-Down,PlayStation 4|PC|PlayStation Vita|Switch,Vlambeer,2015,12,5,86.33
78,The Pinball Arcade,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Wii U|Xbox 360|Xbox One,Farsight Studios,2013,12,17,81.0
79,Tom Clancy's The Division 2,Third-Person|Action|First-Person|Shooter|Tactical,PlayStation 4|PC|Xbox One,Massive Entertainment,2019,3,12,82.67
80,Destiny 2: Forsaken,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Bungie Software| Bungie,2018,9,4,84.0
81,N++,Action|Platformer|2D,PlayStation 4|PC|Xbox One,Metanet Software Inc.,2015,7,28,84.4
82,Pro Evolution Soccer 2015,Traditional|Sim|Sports|Action|Team|General|Soccer,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Konami,2014,11,11,80.8
83,Astebreed,Horizontal|Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|Switch,Edelweiss,2015,6,25,84.0
84,Galak-Z: The Dimensional,Scrolling|Action|General|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC,17-Bit,2015,8,4,80.0
85,Super Time Force Ultra,Action|2D|Shooter|Vertical|Platformer|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita|Xbox 360|Xbox One,Capy Games,2015,9,1,81.0
86,ZEN Pinball 2: Iron & Steel Pack,Action|Pinball,PlayStation 4|PlayStation 3|PlayStation Vita,Zen Studios,2015,2,25,82.0
87,Skullgirls: 2nd Encore,Action|2D|Fighting,PlayStation 4|PC|PlayStation Vita,Lab Zero Games,2015,7,7,79.0
88,Mortal Kombat 11,Action|2D|Fighting,PlayStation 4|PC|Switch|Xbox One,NetherRealm Studios,2019,4,23,81.75
89,Lovers in a Dangerous Spacetime,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4|PC|Switch|Xbox One,Asteroid Base,2016,2,9,81.6
90,Enter the Gungeon,Action|General,PlayStation 4|PC|Switch|Xbox One,Dodge Roll,2016,4,5,84.33
91,Child of Light,Action|Role-Playing|General,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Switch|Wii U|Xbox 360|Xbox One,Ubisoft Montreal,2014,4,29,81.7
92,Rocksmith 2014 Edition,Music|Action|Rhythm|Miscellaneous,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Ubisoft,2014,11,4,81.0
93,The Messenger,Action|Platformer|2D,PlayStation 4|PC|Switch,Sabotage Studio,2019,3,19,78.0
94,SteamWorld Dig,Action Adventure|Action|2D|General|Platformer,PlayStation 4|3DS|PC|PlayStation Vita|Switch|Wii U|Xbox One,Image & Form,2014,3,18,80.57
95,Tekken 7,Action|3D|Fighting,PlayStation 4|PC|Xbox One,Bandai Namco Games,2017,6,2,81.67
96,Mega Man 11,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Capcom,2018,10,2,79.5
97,PixelJunk Shooter Ultimate,Scrolling|Action|Shooter|Vertical|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita,Double Eleven,2014,6,3,84.5
98,ZEN Pinball 2,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PlayStation 3|PlayStation Vita|Wii U,Zen Studios,2013,12,24,76.5
99,Orcs Must Die! Unchained,Defense|Action|Strategy|General|Real-Time,PlayStation 4|PC,Robot Entertainment,2017,7,18,84.5
100,Metrico+,Action|Puzzle,PlayStation 4|PC|Xbox One,Digital Dreams,2016,8,23,74.0
101,Plants vs Zombies: Garden Warfare 2,Third-Person|Action|General|Shooter|Tactical,PlayStation 4|PC|Xbox One,PopCap,2016,2,23,81.0
102,Danganronpa V3: Killing Harmony,Adventure|Action|Visual Novel|General,PlayStation 4|PC|PlayStation Vita,Spike Chunsoft,2017,9,26,80.5
103,ICEY,Action|Platformer|2D,PlayStation 4|iPhone/iPad|PC|Switch,X.D. Network Inc.,2017,8,8,79.67
104,Warhammer: Vermintide 2,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Fatshark AB,2018,12,18,82.2
105,Overcooked! 2,Arcade|Action,PlayStation 4|PC|Switch|Xbox One,Ghost Town Games Ltd.,2018,8,7,81.25
106,Skylanders SuperChargers,Action|Platformer|3D,PlayStation 4|iPhone/iPad|PlayStation 3|Wii U|Xbox 360|Xbox One,Vicarious Visions,2015,9,20,83.0
107,FAR: Lone Sails,Action|Platformer|2D,PlayStation 4|PC|Xbox One,Okomotive,2019,4,2,80.33
108,Helldivers,Arcade|Third-Person|Action|Shooter|Sci-Fi,PlayStation 4|PC|PlayStation 3|PlayStation Vita,Arrowhead Game Studios,2015,3,3,82.0
109,Shantae: Half-Genie Hero,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Wii U|Xbox One,WayForward,2016,12,20,80.0
110,Timespinner,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch|Xbox One,Lunar Ray Games,2018,9,25,78.67
111,The Walking Dead: Season Two - A Telltale Games Series,Action|Point-and-Click|General|Adventure,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360|Xbox One,Telltale Games,2014,10,21,80.5
112,Risk of Rain,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita|Switch,Code Mystics Inc.| Hopoo Games,2016,4,12,79.0
113,Star Wars Pinball: The Force Awakens,Action|Pinball,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Xbox 360|Xbox One,Zen Studios,2016,1,12,81.0
114,Far Cry 5,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,Ubisoft Montreal,2018,3,27,80.33
115,Sine Mora EX,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4|PC|Switch|Xbox One,Digital Reality,2017,8,8,77.0
116,Call of Duty: Black Ops III,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|PlayStation 3|Xbox 360|Xbox One,Treyarch,2015,11,6,77.8
117,Shadow Complex Remastered,Third-Person|Shooter|Action|Arcade,PlayStation 4|PC|Xbox One,Chair Entertainment,2016,5,3,77.0
118,Ultimate Chicken Horse,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Clever Endeavour Games,2017,12,12,80.0
119,BlazBlue: Chrono Phantasma Extend,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox One,Arc System Works,2015,6,30,82.5
120,Pix the Cat,Arcade|Action|General,PlayStation 4|PC|PlayStation Vita|Xbox One,Pasta Games,2014,10,7,75.25
121,Dariusburst: Chronicle Saviours,Shooter|Action|Horizontal|Shoot-'Em-Up,PlayStation 4|PC|PlayStation Vita,Pyramid,2015,12,2,80.0
122,Injustice: Gods Among Us - Ultimate Edition,Action|2D|Fighting,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox 360,NetherRealm Studios,2013,11,12,79.5
123,Blood & Truth,Shooter|Action|Light Gun,PlayStation 4,SCEE London Studio,2019,5,28,80.0
124,The Walking Dead: The Telltale Series - A New Frontier Episode 1: Ties That Bind Part One,Adventure|Action|Point-and-Click|General,PlayStation 4|PC|Xbox One,Telltale Games,2016,12,20,79.67
125,Metro Exodus,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Xbox One,4A Games,2019,2,15,81.2
126,RiME,Third-Person|Action|General|3D|Adventure,PlayStation 4|PC|Switch|Xbox One,Tequila Works,2017,5,26,76.0
127,Giana Sisters: Twisted Dreams - Director's Cut,Action|Platformer|2D,PlayStation 4|PC|Wii U|Xbox One,Black Forest Games,2014,12,9,80.0
128,Octahedron,Action|Platformer|2D,PlayStation 4|PC|Switch|Xbox One,Demimonde,2018,3,20,80.33
129,Bow to Blood,Shooter|Action|Light Gun,PlayStation 4,Tribetoy,2018,8,28,80.0
130,Gravity Rush 2,Action|Platformer|3D,PlayStation 4,SCE Japan Studio,2017,1,20,80.0
131,Score Rush Extended,Shooter|Action|Top-Down|Shoot-'Em-Up,PlayStation 4,Xona Games,2016,5,31,80.0
132,Star Wars Pinball: Heroes Within,Parlor|Action|Pinball|Miscellaneous,PlayStation 4|PC|PlayStation 3|PlayStation Vita|Xbox 360,Zen Studios,2014,4,29,80.0
133,Dragon's Crown Pro,Action|Beat-'Em-Up|Role-Playing|2D|Action RPG,PlayStation 4|PlayStation 3|PlayStation Vita,Vanillaware,2018,5,15,80.0
134,Guitar Hero Live,Music|Action|Rhythm,PlayStation 4|iPhone/iPad|PlayStation 3|Wii U|Xbox 360|Xbox One,FreeStyleGames,2015,10,20,80.5
135,Pinball FX2 VR,Action|Pinball|Miscellaneous|General,PlayStation 4|PC,Zen Studios,2016,11,29,80.0
136,Tom Clancy's The Division,Arcade|Third-Person|Action|Shooter|Modern|Tactical,PlayStation 4|PC|Xbox One,Massive Entertainment,2016,3,8,79.67
137,Downwell,Action|General,PlayStation 4|iPhone/iPad|PC|PlayStation Vita|Switch,Moppin,2016,5,24,84.8
138,Rabi-Ribi,Action|Platformer|2D,PlayStation 4|PC|PlayStation Vita,CreSpirit,2017,9,1,80.0
139,The Walking Dead: The Telltale Series - A New Frontier Episode 2: Ties That Bind Part Two,Action|Point-and-Click|General|Adventure,PlayStation 4|PC|Xbox One,Telltale Games,2016,12,20,79.33
140,Gravity Rush Remastered,Action Adventure|Action|Platformer|Open-World|3D,PlayStation 4,Bluepoint Games,2016,2,2,80.0
141,World of Tanks,Simulation|Combat|Third-Person|Action|Vehicle|Shooter|Tactical,PlayStation 4|PC|Xbox 360|Xbox 360|Xbox One,Wargaming.net,2016,1,19,78.8
142,Ziggurat,Shooter|Action|Arcade|First-Person,PlayStation 4|PC|Wii U|Xbox One,Milkstone Studios,2015,4,21,78.14
143,Skylanders Imaginators,Action|Platformer|3D,PlayStation 4|PlayStation 3|Switch|Wii U|Xbox 360|Xbox One,Toys for Bob,2016,10,16,76.5
144,LocoRoco 2 Remastered,Action|Platformer|2D,PlayStation 4,SCE Japan Studio,2017,12,9,79.0
145,Firewall Zero Hour,Tactical|First-Person|Shooter|Action,PlayStation 4,Sony Interactive Entertainment| First Contact Entertainment,2018,8,28,79.0
146,Joe Dever's Lone Wolf Console Edition,Adventure|General|Action,PlayStation 4|PC|Xbox One,Forge Reply,2016,3,16,75.0
147,Wandersong,2D|Platformer|Action,PlayStation 4|PC|Switch,Dumb and Fat Games,2019,1,22,80.33
148,Inversus,Action|Strategy|Arcade|Tactics|Real-Time,PlayStation 4|PC,Hypersect,2016,8,16,79.0
149,The Metronomicon: Slay the Dance Floor,Rhythm|Music|Action,PlayStation 4|PC|Xbox One,Puuba,2017,8,29,79.0
150,A Hat in Time,3D|Platformer|Action,PlayStation 4|PC|Xbox One,Gears for Breakfast,2017,12,5,77.33
151,Skylanders Swap Force,3D|Platformer|Action,PlayStation 4|3DS|PlayStation 3|Wii U|Xbox 360|Xbox One,Vicarious Visions,2013,11,15,78.67
152,Prey,Arcade|First-Person|Action|General|Shooter,PlayStation 4|PC|Xbox One,Arkane Studios,2017,5,5,81.67
153,LittleBigPlanet 3,2D|Platformer|Action,PlayStation 4|PlayStation 3,Sumo Digital,2014,11,18,79.0
154,Hob,General|Action,PlayStation 4|PC|Switch,Runic Games,2017,9,26,77.5
155,LocoRoco,2D|Platformer|Action,PlayStation 4|Mobile,Sony Interactive Entertainment,2017,5,9,79.0
156,Zen Pinball 2: Bethesda Pinball,Pinball|Action,PlayStation 4|iPhone/iPad|PC|Xbox One,Zen Studios,2016,12,6,84.0
157,Naruto Shippuden: Ultimate Ninja Storm 4,3D|Fighting|Action,PlayStation 4|PC|Xbox One,CyberConnect2,2016,2,9,79.5
158,Rock of Ages 2: Bigger & Boulder,General|Action,PlayStation 4|PC|Switch|Xbox One,ACE Team,2017,8,28,77.0
159,Shooty Fruity,Light Gun|Shooter|Action,PlayStation 4|PC,nDreams,2017,12,19,79.0
160,The King of Fighters XIV,2D|Fighting|Action,PlayStation 4|PC,SNK Playmore| SNK Corporation,2016,8,23,79.0
161,Pac-Man 256,Arcade|General|Action,PlayStation 4|iPhone/iPad|PC|Xbox One,HIPSTER WHALE,2016,6,21,79.5
162,Alienation,Sci-Fi|Arcade|Third-Person|Action|Shooter,PlayStation 4,Housemarque,2016,4,26,79.0
163,Rival Megagun,Vertical|Shoot-'Em-Up|Shooter|Action,PlayStation 4|PC|Switch|Xbox One,Spacewave Software,2018,11,29,75.0
164,Kero Blaster,Platformer|Vertical|2D|Action|Shoot-'Em-Up|Shooter,PlayStation 4|iPhone/iPad|PC|Switch,Studio Pixel,2017,4,11,79.33
165,Call of Duty: WWII,Arcade|First-Person|Shooter|Action,PlayStation 4|PC|Xbox One,Sledgehammer Games,2017,11,3,77.33
166,Pinball FX3,Pinball|Action,PlayStation 4|PC|Switch|Xbox One,Zen Studios,2017,9,26,83.5
167,ZEN Pinball 2: Balls of Glory,Pinball|Action,PlayStation 4|iPhone/iPad|PlayStation 3|PlayStation Vita,Zen Studios,2015,10,20,78.0
168,Death Road to Canada,General|Action,PlayStation 4|iPhone/iPad|PC|Switch|Xbox One,Rocketcat Games,2018,5,8,79.6
169,Super Rude Bear Resurrection,2D|Platformer|Action,PlayStation 4|PC,Alex Rose,2017,5,2,78.0
170,Hatsune Miku: Project Diva X,Rhythm|Music|Action,PlayStation 4|PlayStation Vita,Sega,2016,8,30,80.5
171,Overcooked!,Virtual|Arcade|Simulation|Career|Action,PlayStation 4|PC|Switch|Xbox One,Ghost Town Games Ltd.,2016,8,2,79.67
172,1001 Spikes,2D|Platformer|Action,PlayStation 4|3DS|PC|PlayStation Vita|Wii U|Xbox One,Nicalis,2014,6,3,78.89
173,Unravel,2D|Platformer|Action,PlayStation 4|PC|Xbox One,Coldwood Interactive,2016,2,9,78.0
174,Forma.8,2D|Platformer|Action,PlayStation 4|iPhone/iPad|PC|PlayStation Vita|Switch|Wii U|Xbox One,MixedBag Srl,2017,2,23,78.67
175,Starwhal,2D|Fighting|Action,PlayStation 4|PC|PlayStation 3|Wii U|Xbox One,Breakfall,2015,2,24,71.0
176,Mothergunship,General|Action,PlayStation 4|PC|Xbox One,Grip Digital,2018,7,17,75.67
177,Rock Band 4,Rhythm|Music|Action,PlayStation 4|Xbox One,Harmonix Music Systems,2015,10,6,78.5
178,Fortnite,Tactical|Third-Person|Shooter|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Switch|Xbox 360|Xbox One,Epic Games,2017,7,21,81.67
179,Under Night In-Birth Exe:Late[st],2D|Fighting|Action,PlayStation 4|PC|PlayStation 3|PlayStation Vita,French-Bread,2018,2,9,78.0
180,Skylanders Trap Team,3D|Platformer|Action,PlayStation 4|3DS|iPhone/iPad|PlayStation 3|Wii U|Xbox 360|Xbox One,Toys for Bob,2014,10,5,83.0
181,Call of Duty: Ghosts,Modern|Arcade|First-Person|Action|Shooter,PlayStation 4|PC|PlayStation 3|Wii U|Xbox 360|Xbox One,Infinity Ward,2013,11,15,73.25
182,PlanetSide 2,Sci-Fi|Arcade|First-Person|Action|Tactical|Shooter,PlayStation 4|PC,Sony Online Entertainment| Daybreak Games,2015,6,23,81.6
183,Toki Tori 2 +,Puzzle|Action,PlayStation 4|PC|Switch|Wii U,Two Tribes,2016,2,23,79.33
184,Call of Duty: Black Ops III - Zombies Chronicles,Arcade|First-Person|Shooter|Action,PlayStation 4|Xbox One,Treyarch,2017,5,16,78.0
185,Everybody's Gone to the Rapture,3D|First-Person|Action|Adventure|General,PlayStation 4|PC,The Chinese Room,2015,8,11,77.2
186,Teslagrad,2D|Platformer|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|PlayStation Vita|Switch|Wii U|Xbox One,Rain Games,2015,4,14,77.62
187,Mutant Mudds: Super Challenge,2D|Platformer|Action,PlayStation 4|3DS|PC|PlayStation Vita|Wii U,Renegade Kid,2016,7,26,80.5
188,Flywrench,General|Action,PlayStation 4|PC,Messhof,2017,2,14,78.0
189,The Missing: JJ Macfield and the Island of Memories,General|Action,PlayStation 4|PC|Switch|Xbox One,White Owls,2018,10,15,78.25
190,Game of Thrones: Episode One - Iron From Ice,Adventure|General|Point-and-Click|Action,PlayStation 4|iPhone/iPad|PC|PlayStation 3|Xbox 360|Xbox One,Telltale Games,2014,12,2,77.33
191,Linelight,Puzzle|Action,PlayStation 4|iPhone/iPad|PC,My Dog Zorro,2017,1,31,83.5
192,Life Goes On: Done to Death,2D|Platformer|Action,PlayStation 4|PC|PC,Infinite Monkeys,2016,5,17,77.0
